name,state,city,address,latitude,longitude,Charging Type,Supported Vehicle Types,access hours,Pricing Information,Amenities
Almond House SD Road,Andhra Pradesh,hyderabad,"9-1-109/1B, Regimental Bazaar, Shivaji Nagar,",17.441011,78.503158,DC Fast Charging,EV2,24-Jul,?12 k/Wh,"No Wifi, No Parking"
The Vizag Drive In,Andhra Pradesh,visakhapatnam,"4-72-12, Beach Road, next to BPCL Petrol Bunk, Lawsons Bay Colony, Visakhapatnam, Andhra Pradesh ",17.7314545,83.3405749,DC Fast Charging,EV2,24-Jul,?11 k/Wh,"Wifi, Parking"
Bliss Bakery & Cafe,Maharashtra,pune,"Narayan Tower, near, Narayan Annaji Shinde Rd, Salunkhe Vihar Society, Kondhwa, Pune, Maharashtra ",18.4788385,73.9013856,AC Fast Charging,EV1,24-Jul,?9 k/Wh,"Wifi, Parking"
Cafe Peter,Maharashtra,pune,"Waman Ganesh Heights, Pashan Rd, Bavdhan, Pune, Maharashtra",18.5105106,73.7819022,AC Fast Charging,EV1,24-Jul,?8 k/Wh,"No Wifi, No Parking"
WeFix Automobile,Maharashtra,pune,"Plot no.27(Residential, PCNTDA, Sector 10, Shriram Colony, Bhosari, Pune, Maharashtra ,Bhosari",18.64837725,73.82986626,DC Fast Charging,EV2,24-Jul,?10 k/Wh,"Wifi, Parking"
Hotel Om Navratna,Maharashtra,mumbai,"1/766, Old Mumbai Pune Highway, Near Agarwal Movers & Packers Ltd, at post Chouk",18.9014249,73.23657885,AC Fast Charging,EV1,24-Jul,?9 k/Wh,"No Wifi, No Parking"
Ather Space Ahmedabad,Gujarat,ahmedabad,"Shop No. 01, Ground floor, 3rd Eye Vision Opp. Shivalik Plaza, near AMA, Panjrapole CharRasta, Ahmedabad, Gujarat ",23.0281973,72.5432892,DC Fast Charging,EV2,24-Jul,?10 k/Wh,"Wifi, Parking"
"Vishnu Tradex, Shreekunj Elegance",Gujarat,ahmedabad,"2 SHREEKUNJ ELIGANCE, near SAHAJ PARADISE BANGLOW, Ahmedabad, Gujarat ",23.0735526,72.520875,DC Fast Charging,EV2,24-Jul,?12 k/Wh,"No Wifi, No Parking"
Royal Global University,Assam,guwahati,"NH-37, opp. Tirupati Balaji Temple, Betkuchi, Guwahati, Assam 781035",26.112203,91.7241576,AC Fast Charging,EV1,24-Jul,?9 k/Wh,"Wifi, Parking"
Ather Space Siliguri,West Bengal,siliguri,"Sevoke Rd, opposite Vishal Cinema Hall, Ward Number 13, Bankim Nagar, Siliguri, West Bengal ",26.7321074,88.4322712,DC Fast Charging,EV2,24-Jul,?10 k/Wh,"Wifi, Parking"
Loom Solar Warehouse,Haryana,faridabad,"Plot No. 21, 1, Mathura Rd, Pocket 3, Rajiv Enclave, Sector 6, Faridabad, Haryana 121006",28.3520623,77.3007942,AC Fast Charging,EV1,24-Jul,?8 k/Wh,"No Wifi, No Parking"
